"Estado","% Ocupación"
"Zacatecas","92.59"
"Durango","78.26"
"Chihuahua","71.90"
"Ciudad de México","68.43"
"Nuevo León","67.50"
"Querétaro","65.62"
"Aguascalientes","59.74"
"Oaxaca","42.68"
"Jalisco","37.94"
"Sinaloa","37.63"
"Baja California","37.11"
"Tamaulipas","36.84"
"México","34.86"
"Coahuila de Zaragoza","32.00"
"Veracruz de Ignacio de La Llave","30.76"
"Guanajuato","29.35"
"Yucatán","28.88"
"Guerrero","28.12"
"Sonora","27.65"
"Hidalgo","26.82"
"San Luis Potosí","26.47"
"Puebla","23.15"
"Michoacán de Ocampo","23.07"
"Tabasco","20.00"
"Quintana Roo","18.64"
"Colima","16.66"
"Morelos","15.00"
"Campeche","2.94"
"Chiapas","1.35"
"Nayarit","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
