"Estado","% Ocupación"
"Querétaro","77.14"
"Yucatán","65.00"
"Ciudad de México","57.58"
"México","51.70"
"Tabasco","41.93"
"Puebla","36.02"
"Morelos","34.61"
"Durango","34.21"
"Aguascalientes","31.03"
"Chihuahua","30.15"
"Veracruz de Ignacio de La Llave","27.51"
"Oaxaca","27.10"
"Tamaulipas","25.71"
"Baja California","25.00"
"Michoacán de Ocampo","24.24"
"Sinaloa","23.68"
"Guerrero","21.97"
"Nuevo León","20.90"
"Sonora","20.45"
"Jalisco","20.39"
"San Luis Potosí","19.75"
"Quintana Roo","19.48"
"Hidalgo","18.03"
"Tlaxcala","12.50"
"Guanajuato","12.50"
"Zacatecas","10.00"
"Coahuila de Zaragoza","9.43"
"Chiapas","7.93"
"Colima","6.66"
"Campeche","6.25"
"Baja California Sur","0.00"
"Nayarit","0.00"
