"Estado","% Ocupación"
"Zacatecas","96.00"
"Durango","79.36"
"Ciudad de México","75.22"
"Nuevo León","66.06"
"Querétaro","64.86"
"Aguascalientes","62.50"
"Chihuahua","50.00"
"Coahuila de Zaragoza","46.87"
"México","44.05"
"Sinaloa","40.96"
"Oaxaca","38.37"
"Tamaulipas","37.96"
"Jalisco","36.90"
"Tabasco","33.78"
"Hidalgo","32.98"
"Morelos","32.85"
"Guanajuato","30.27"
"Sonora","30.18"
"Veracruz de Ignacio de La Llave","29.49"
"Guerrero","26.82"
"San Luis Potosí","26.13"
"Yucatán","22.44"
"Puebla","22.22"
"Michoacán de Ocampo","20.93"
"Baja California","17.50"
"Quintana Roo","15.47"
"Baja California Sur","11.11"
"Colima","10.52"
"Chiapas","4.54"
"Campeche","2.94"
"Nayarit","0.00"
"Tlaxcala","0.00"
