"Estado","% Ocupación"
"Zacatecas","87.09"
"Durango","75.47"
"Ciudad de México","73.29"
"Aguascalientes","71.28"
"Querétaro","70.58"
"Nuevo León","66.83"
"Colima","60.00"
"Sonora","59.52"
"Chihuahua","55.31"
"Oaxaca","55.00"
"Tamaulipas","42.71"
"Coahuila de Zaragoza","42.42"
"México","42.20"
"Guanajuato","39.32"
"Jalisco","34.68"
"Sinaloa","34.44"
"Veracruz de Ignacio de La Llave","32.62"
"Guerrero","30.86"
"San Luis Potosí","30.76"
"Tabasco","30.13"
"Morelos","28.84"
"Michoacán de Ocampo","28.57"
"Yucatán","25.92"
"Puebla","24.48"
"Hidalgo","24.39"
"Baja California","23.52"
"Baja California Sur","22.22"
"Quintana Roo","17.91"
"Campeche","8.82"
"Chiapas","5.97"
"Tlaxcala","0.00"
"Nayarit","0.00"
