"Estado","% Ocupación"
"Durango","72.85"
"Ciudad de México","65.71"
"Querétaro","65.62"
"Aguascalientes","64.00"
"Chihuahua","62.26"
"Nuevo León","55.47"
"Zacatecas","54.83"
"Baja California","46.87"
"Tamaulipas","43.93"
"Oaxaca","37.14"
"México","34.08"
"Puebla","32.98"
"Jalisco","32.59"
"Veracruz de Ignacio de La Llave","29.92"
"San Luis Potosí","29.52"
"Yucatán","28.00"
"Coahuila de Zaragoza","27.77"
"Guerrero","26.66"
"Sinaloa","25.77"
"Guanajuato","25.68"
"Quintana Roo","24.70"
"Hidalgo","22.91"
"Tabasco","22.80"
"Michoacán de Ocampo","21.05"
"Colima","21.05"
"Sonora","19.40"
"Morelos","16.00"
"Chiapas","5.26"
"Nayarit","3.33"
"Baja California Sur","3.22"
"Campeche","0.00"
"Tlaxcala","0.00"
