"Estado","% Ocupación"
"Querétaro","80.00"
"Ciudad de México","52.88"
"Zacatecas","50.00"
"México","39.23"
"Puebla","36.91"
"Chihuahua","36.84"
"Yucatán","36.36"
"Durango","34.21"
"Oaxaca","33.01"
"Aguascalientes","29.31"
"Tabasco","27.45"
"Sinaloa","27.02"
"Hidalgo","24.07"
"Veracruz de Ignacio de La Llave","23.57"
"Morelos","21.15"
"Nuevo León","20.19"
"San Luis Potosí","20.00"
"Guerrero","19.09"
"Tamaulipas","18.75"
"Baja California","18.18"
"Quintana Roo","16.21"
"Sonora","16.00"
"Jalisco","14.81"
"Michoacán de Ocampo","14.70"
"Guanajuato","11.62"
"Colima","11.11"
"Chiapas","9.52"
"Coahuila de Zaragoza","7.40"
"Campeche","5.88"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
