"Estado","% Ocupación"
"Durango","79.71"
"Zacatecas","72.22"
"Chihuahua","71.66"
"Nuevo León","66.25"
"Querétaro","62.50"
"Aguascalientes","60.24"
"Ciudad de México","59.04"
"Coahuila de Zaragoza","42.85"
"Oaxaca","40.54"
"Jalisco","35.89"
"México","35.52"
"Baja California","34.37"
"Tamaulipas","34.16"
"Sinaloa","34.06"
"Guerrero","30.23"
"Veracruz de Ignacio de La Llave","30.06"
"Sonora","26.08"
"Guanajuato","25.68"
"Yucatán","25.00"
"San Luis Potosí","24.50"
"Hidalgo","23.76"
"Michoacán de Ocampo","23.68"
"Tabasco","23.28"
"Puebla","21.64"
"Quintana Roo","20.33"
"Colima","16.66"
"Morelos","12.85"
"Chiapas","2.98"
"Campeche","2.94"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
