"Estado","% Ocupación"
"Durango","80.28"
"Zacatecas","72.72"
"Querétaro","72.22"
"Ciudad de México","69.17"
"Nuevo León","67.48"
"Aguascalientes","67.32"
"Chihuahua","62.40"
"Coahuila de Zaragoza","50.74"
"México","42.29"
"Sonora","40.00"
"Tamaulipas","38.38"
"Sinaloa","37.20"
"Oaxaca","35.61"
"Jalisco","34.52"
"Yucatán","33.33"
"Guanajuato","31.31"
"Veracruz de Ignacio de La Llave","29.85"
"Tabasco","28.00"
"San Luis Potosí","27.27"
"Guerrero","26.82"
"Hidalgo","23.71"
"Puebla","23.07"
"Quintana Roo","22.50"
"Baja California Sur","22.22"
"Morelos","20.00"
"Michoacán de Ocampo","19.04"
"Baja California","17.50"
"Colima","15.78"
"Campeche","8.82"
"Chiapas","4.47"
"Tlaxcala","0.00"
"Nayarit","0.00"
