"Estado","% Ocupación"
"Yucatán","71.42"
"Querétaro","58.33"
"Zacatecas","40.00"
"Coahuila de Zaragoza","37.50"
"Quintana Roo","34.78"
"México","34.75"
"Nuevo León","31.39"
"Tabasco","30.50"
"Tamaulipas","28.40"
"Sonora","27.90"
"Oaxaca","27.86"
"Aguascalientes","24.52"
"Veracruz de Ignacio de La Llave","21.10"
"Durango","19.29"
"Sinaloa","18.98"
"Ciudad de México","17.95"
"Jalisco","16.76"
"Puebla","14.75"
"Michoacán de Ocampo","14.28"
"Chihuahua","14.11"
"San Luis Potosí","13.79"
"Baja California","13.33"
"Chiapas","6.34"
"Hidalgo","5.71"
"Colima","5.55"
"Campeche","3.57"
"Guanajuato","3.57"
"Guerrero","3.37"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Morelos","0.00"
