"Estado","% Ocupación"
"Durango","90.76"
"Zacatecas","90.62"
"Ciudad de México","79.23"
"Querétaro","73.52"
"Nuevo León","68.02"
"Aguascalientes","60.67"
"México","54.45"
"Chihuahua","49.12"
"Oaxaca","43.02"
"Yucatán","38.23"
"Guanajuato","37.83"
"Hidalgo","37.11"
"Sinaloa","36.78"
"Tamaulipas","35.71"
"Morelos","34.28"
"Jalisco","34.10"
"Tabasco","33.78"
"Coahuila de Zaragoza","30.50"
"Michoacán de Ocampo","30.23"
"Quintana Roo","27.50"
"San Luis Potosí","27.27"
"Guerrero","26.82"
"Veracruz de Ignacio de La Llave","26.58"
"Sonora","18.36"
"Baja California","17.50"
"Puebla","16.66"
"Baja California Sur","11.11"
"Colima","10.52"
"Campeche","7.89"
"Chiapas","4.47"
"Tlaxcala","0.00"
"Nayarit","0.00"
