"Estado","% Ocupación"
"Aguascalientes","80.88"
"Durango","80.00"
"Zacatecas","78.37"
"Ciudad de México","71.07"
"Chihuahua","68.42"
"Querétaro","65.62"
"Nuevo León","63.86"
"Oaxaca","41.25"
"México","36.72"
"San Luis Potosí","33.64"
"Jalisco","33.33"
"Sinaloa","32.58"
"Tamaulipas","32.00"
"Sonora","31.91"
"Guerrero","31.70"
"Veracruz de Ignacio de La Llave","31.70"
"Coahuila de Zaragoza","31.25"
"Tabasco","29.85"
"Michoacán de Ocampo","27.90"
"Puebla","26.26"
"Guanajuato","24.54"
"Yucatán","24.52"
"Hidalgo","21.42"
"Morelos","17.30"
"Colima","15.78"
"Baja California","15.00"
"Quintana Roo","8.82"
"Chiapas","4.47"
"Campeche","2.94"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
