"Estado","% Ocupación"
"Durango","80.00"
"Aguascalientes","70.78"
"Querétaro","68.75"
"Zacatecas","65.90"
"Nuevo León","65.27"
"Chihuahua","64.22"
"Ciudad de México","61.17"
"Coahuila de Zaragoza","47.45"
"Baja California","42.10"
"Tamaulipas","38.54"
"México","38.31"
"Michoacán de Ocampo","38.00"
"Oaxaca","36.25"
"Sinaloa","35.55"
"Jalisco","34.95"
"Veracruz de Ignacio de La Llave","32.85"
"Sonora","30.90"
"San Luis Potosí","27.55"
"Guerrero","27.47"
"Guanajuato","24.77"
"Hidalgo","24.27"
"Tabasco","23.61"
"Morelos","23.07"
"Yucatán","21.15"
"Puebla","20.40"
"Colima","15.78"
"Quintana Roo","15.00"
"Chiapas","5.97"
"Nayarit","3.33"
"Campeche","2.94"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
