"Estado","% Ocupación"
"Quintana Roo","31.37"
"Tabasco","19.74"
"Durango","19.37"
"Puebla","17.93"
"Baja California Sur","17.56"
"Morelos","17.03"
"Chihuahua","15.70"
"Guerrero","15.27"
"Tamaulipas","13.97"
"Nuevo León","13.90"
"Ciudad de México","13.86"
"Oaxaca","11.79"
"México","11.45"
"Baja California","11.20"
"Michoacán de Ocampo","11.05"
"Aguascalientes","11.03"
"Veracruz de Ignacio de La Llave","10.32"
"Yucatán","9.53"
"Hidalgo","9.17"
"Sonora","8.72"
"Querétaro","8.27"
"Nayarit","8.13"
"Sinaloa","7.73"
"Jalisco","7.15"
"Chiapas","5.88"
"Colima","5.46"
"Guanajuato","4.14"
"Tlaxcala","3.84"
"San Luis Potosí","3.61"
"Zacatecas","3.57"
"Coahuila de Zaragoza","3.33"
"Campeche","1.93"
