"Estado","% Ocupación"
"Zacatecas","93.10"
"Durango","80.55"
"Querétaro","72.97"
"Ciudad de México","67.45"
"Nuevo León","67.25"
"Aguascalientes","64.64"
"Chihuahua","58.59"
"Sonora","52.08"
"Coahuila de Zaragoza","50.00"
"Baja California","46.91"
"México","45.37"
"Tamaulipas","37.75"
"Sinaloa","36.95"
"Veracruz de Ignacio de La Llave","36.50"
"Jalisco","34.69"
"Yucatán","33.33"
"Morelos","32.50"
"Oaxaca","31.70"
"San Luis Potosí","31.57"
"Guanajuato","31.19"
"Tabasco","29.33"
"Guerrero","29.26"
"Michoacán de Ocampo","26.19"
"Quintana Roo","25.64"
"Baja California Sur","22.22"
"Puebla","20.65"
"Hidalgo","20.61"
"Colima","15.78"
"Campeche","8.82"
"Chiapas","5.88"
"Nayarit","0.00"
"Tlaxcala","0.00"
