"Estado","% Ocupación"
"Zacatecas","96.42"
"Durango","82.25"
"Ciudad de México","77.61"
"Querétaro","68.57"
"Nuevo León","67.83"
"Aguascalientes","59.34"
"México","56.52"
"Coahuila de Zaragoza","48.83"
"Chihuahua","47.54"
"Jalisco","38.61"
"Tamaulipas","38.39"
"Oaxaca","38.27"
"Hidalgo","37.80"
"Sinaloa","37.64"
"Morelos","35.71"
"Tabasco","35.13"
"Guanajuato","28.44"
"Veracruz de Ignacio de La Llave","27.81"
"Guerrero","27.71"
"San Luis Potosí","27.27"
"Sonora","26.66"
"Quintana Roo","25.00"
"Michoacán de Ocampo","23.25"
"Yucatán","20.83"
"Puebla","20.65"
"Baja California","17.50"
"Baja California Sur","11.11"
"Chiapas","5.97"
"Colima","5.26"
"Campeche","2.77"
"Nayarit","0.00"
"Tlaxcala","0.00"
