"Estado","% Ocupación"
"Zacatecas","93.54"
"Durango","86.76"
"Querétaro","80.55"
"Ciudad de México","80.52"
"Aguascalientes","60.00"
"México","59.68"
"Nuevo León","56.50"
"Coahuila de Zaragoza","53.84"
"Chihuahua","50.74"
"Jalisco","42.94"
"Yucatán","41.17"
"Veracruz de Ignacio de La Llave","40.00"
"Sinaloa","39.08"
"Oaxaca","38.37"
"Michoacán de Ocampo","36.36"
"Hidalgo","36.25"
"Guanajuato","33.62"
"Morelos","30.00"
"Tabasco","29.72"
"Tamaulipas","28.04"
"Sonora","27.45"
"San Luis Potosí","26.13"
"Baja California","23.80"
"Quintana Roo","17.44"
"Puebla","16.25"
"Guerrero","14.63"
"Colima","5.26"
"Campeche","2.94"
"Chiapas","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
