"Estado","% Ocupación"
"Durango","88.05"
"Zacatecas","85.29"
"Ciudad de México","77.26"
"Querétaro","74.28"
"Aguascalientes","61.70"
"Nuevo León","61.67"
"Chihuahua","53.78"
"México","51.35"
"Guanajuato","50.54"
"Oaxaca","42.35"
"Hidalgo","41.86"
"Jalisco","38.71"
"Morelos","38.57"
"Sinaloa","37.20"
"Tamaulipas","35.89"
"Tabasco","33.78"
"Coahuila de Zaragoza","32.81"
"Yucatán","32.35"
"Veracruz de Ignacio de La Llave","31.72"
"Michoacán de Ocampo","28.57"
"San Luis Potosí","28.40"
"Sonora","25.00"
"Guerrero","22.89"
"Baja California","22.50"
"Puebla","18.27"
"Quintana Roo","15.00"
"Baja California Sur","11.11"
"Colima","5.26"
"Campeche","2.94"
"Chiapas","1.51"
"Nayarit","0.00"
"Tlaxcala","0.00"
