"Estado","% Ocupación"
"Zacatecas","93.93"
"Durango","89.55"
"Querétaro","81.08"
"Ciudad de México","78.64"
"Aguascalientes","69.87"
"Nuevo León","57.38"
"México","57.07"
"Chihuahua","47.41"
"Jalisco","42.64"
"Sinaloa","41.17"
"Guanajuato","39.44"
"Michoacán de Ocampo","38.77"
"Coahuila de Zaragoza","36.84"
"Sonora","36.66"
"Tamaulipas","36.17"
"Yucatán","35.29"
"Tabasco","35.13"
"Quintana Roo","34.14"
"Oaxaca","33.84"
"Veracruz de Ignacio de La Llave","33.56"
"Hidalgo","28.75"
"Morelos","28.57"
"Baja California","26.47"
"San Luis Potosí","24.13"
"Puebla","18.75"
"Guerrero","14.63"
"Colima","10.52"
"Campeche","2.94"
"Nayarit","0.00"
"Baja California Sur","0.00"
"Chiapas","0.00"
"Tlaxcala","0.00"
