"Estado","% Ocupación"
"Yucatán","63.15"
"Querétaro","58.33"
"Zacatecas","55.55"
"Sonora","43.58"
"México","34.58"
"Quintana Roo","34.28"
"Nuevo León","32.49"
"Tabasco","29.11"
"Baja California","25.00"
"Aguascalientes","22.64"
"Durango","21.81"
"Guerrero","21.05"
"Coahuila de Zaragoza","20.00"
"Tamaulipas","19.54"
"Chihuahua","19.51"
"Veracruz de Ignacio de La Llave","18.34"
"Jalisco","17.81"
"Sinaloa","17.47"
"Campeche","15.62"
"Oaxaca","15.38"
"Ciudad de México","15.08"
"Puebla","14.92"
"Michoacán de Ocampo","12.50"
"Guanajuato","8.77"
"Chiapas","6.06"
"Colima","5.55"
"San Luis Potosí","4.34"
"Hidalgo","4.25"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
