"Estado","% Ocupación"
"Zacatecas","66.66"
"Querétaro","65.62"
"Sonora","44.44"
"Tamaulipas","36.84"
"Yucatán","33.33"
"Aguascalientes","32.75"
"Chihuahua","30.48"
"Puebla","30.00"
"México","28.65"
"Tabasco","28.37"
"Sinaloa","27.77"
"Michoacán de Ocampo","27.27"
"Guerrero","26.38"
"Quintana Roo","25.92"
"Nuevo León","24.25"
"Oaxaca","23.91"
"Ciudad de México","23.43"
"Durango","21.15"
"Chiapas","20.83"
"Veracruz de Ignacio de La Llave","16.66"
"Guanajuato","13.51"
"San Luis Potosí","11.76"
"Jalisco","11.53"
"Baja California","11.36"
"Coahuila de Zaragoza","7.89"
"Hidalgo","4.00"
"Campeche","0.00"
"Colima","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
