"Estado","% Ocupación"
"Quintana Roo","36.09"
"Tamaulipas","19.08"
"Guerrero","18.25"
"Baja California Sur","17.25"
"Ciudad de México","16.66"
"Nuevo León","16.65"
"Aguascalientes","16.47"
"Baja California","15.26"
"Durango","14.85"
"Tabasco","14.28"
"Veracruz de Ignacio de La Llave","14.22"
"Querétaro","13.56"
"Puebla","13.16"
"Nayarit","13.07"
"Morelos","12.71"
"México","12.49"
"Michoacán de Ocampo","12.18"
"Sonora","11.66"
"Colima","11.32"
"Chihuahua","11.11"
"Tlaxcala","10.98"
"Oaxaca","10.85"
"Coahuila de Zaragoza","10.84"
"Yucatán","10.72"
"Sinaloa","7.44"
"Hidalgo","6.76"
"Zacatecas","6.58"
"Guanajuato","6.32"
"Jalisco","5.55"
"Chiapas","5.14"
"Campeche","4.13"
"San Luis Potosí","2.44"
