"Estado","% Ocupación"
"Zacatecas","65.00"
"Yucatán","63.63"
"Querétaro","56.25"
"Tabasco","34.14"
"Sonora","33.33"
"Michoacán de Ocampo","33.33"
"México","27.77"
"Chihuahua","25.49"
"Nuevo León","24.09"
"Quintana Roo","23.52"
"Puebla","21.73"
"Guerrero","20.00"
"Oaxaca","18.30"
"Aguascalientes","18.18"
"Veracruz de Ignacio de La Llave","17.77"
"Durango","16.07"
"Ciudad de México","14.81"
"Baja California","12.12"
"San Luis Potosí","10.71"
"Guanajuato","10.41"
"Chiapas","9.09"
"Jalisco","8.83"
"Sinaloa","8.64"
"Morelos","8.33"
"Campeche","6.25"
"Colima","5.55"
"Tamaulipas","3.12"
"Baja California Sur","0.00"
"Coahuila de Zaragoza","0.00"
"Hidalgo","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
