"Estado","% Ocupación"
"Tabasco","37.06"
"Chihuahua","34.92"
"Ciudad de México","25.19"
"Aguascalientes","25.00"
"Puebla","24.61"
"Colima","24.24"
"Michoacán de Ocampo","21.05"
"Yucatán","20.29"
"México","20.07"
"Querétaro","19.92"
"Tlaxcala","19.67"
"Baja California Sur","16.66"
"Nayarit","15.88"
"Veracruz de Ignacio de La Llave","15.20"
"Sinaloa","14.79"
"Oaxaca","14.68"
"Guerrero","14.41"
"Nuevo León","14.15"
"Hidalgo","14.14"
"Baja California","14.05"
"Durango","13.84"
"Jalisco","12.34"
"Morelos","12.26"
"Sonora","11.39"
"Tamaulipas","10.07"
"Zacatecas","9.94"
"San Luis Potosí","8.52"
"Quintana Roo","8.01"
"Coahuila de Zaragoza","6.37"
"Guanajuato","5.97"
"Chiapas","5.36"
"Campeche","2.34"
