"Estado","% Ocupación"
"Sonora","63.90"
"Tabasco","62.88"
"México","62.52"
"Ciudad de México","61.10"
"Guanajuato","59.10"
"Puebla","58.74"
"Baja California","58.68"
"Nuevo León","58.50"
"Nayarit","54.08"
"Veracruz de Ignacio de La Llave","53.56"
"Colima","53.12"
"Tlaxcala","44.33"
"Guerrero","44.16"
"Coahuila de Zaragoza","43.29"
"Sinaloa","42.91"
"Chiapas","41.18"
"Yucatán","39.93"
"Hidalgo","39.04"
"Morelos","37.19"
"Tamaulipas","35.61"
"Oaxaca","32.73"
"Campeche","32.29"
"Michoacán de Ocampo","25.87"
"Quintana Roo","25.83"
"Aguascalientes","24.33"
"Jalisco","23.45"
"Chihuahua","20.57"
"Zacatecas","20.33"
"Durango","19.65"
"Querétaro","18.98"
"San Luis Potosí","16.39"
"Baja California Sur","15.93"
