"Estado","% Ocupación"
"Quintana Roo","29.67"
"Baja California Sur","28.57"
"Durango","20.18"
"Nuevo León","20.05"
"Chihuahua","19.71"
"Tamaulipas","19.47"
"Ciudad de México","18.68"
"Baja California","17.58"
"Sonora","15.90"
"Tabasco","15.11"
"Guerrero","14.98"
"México","14.01"
"Yucatán","12.77"
"Puebla","12.50"
"Sinaloa","12.40"
"Veracruz de Ignacio de La Llave","12.37"
"Morelos","12.00"
"Oaxaca","11.74"
"Aguascalientes","11.65"
"Zacatecas","11.56"
"Jalisco","11.49"
"Coahuila de Zaragoza","11.02"
"Tlaxcala","10.38"
"Michoacán de Ocampo","10.35"
"Hidalgo","9.55"
"Querétaro","8.99"
"Colima","8.24"
"Nayarit","8.18"
"Guanajuato","5.47"
"Campeche","3.13"
"Chiapas","3.01"
"San Luis Potosí","3.01"
