"Estado","% Ocupación"
"Durango","74.28"
"Coahuila de Zaragoza","72.72"
"Aguascalientes","67.46"
"Querétaro","65.62"
"Chihuahua","62.96"
"Colima","60.00"
"Ciudad de México","57.73"
"Nuevo León","56.64"
"Nayarit","46.29"
"Tamaulipas","45.53"
"Baja California","45.26"
"Zacatecas","45.16"
"Oaxaca","38.46"
"Veracruz de Ignacio de La Llave","32.89"
"Guanajuato","32.58"
"San Luis Potosí","32.35"
"Jalisco","31.84"
"México","31.16"
"Yucatán","30.61"
"Quintana Roo","30.30"
"Tabasco","27.17"
"Guerrero","26.66"
"Puebla","26.37"
"Sinaloa","26.26"
"Hidalgo","22.10"
"Michoacán de Ocampo","18.91"
"Sonora","15.00"
"Morelos","10.00"
"Chiapas","6.49"
"Baja California Sur","3.22"
"Tlaxcala","0.00"
"Campeche","0.00"
