"Estado","% Ocupación"
"Tabasco","29.44"
"Yucatán","25.00"
"Baja California Sur","20.76"
"Colima","20.28"
"Quintana Roo","19.26"
"Baja California","19.04"
"Chihuahua","19.04"
"Nuevo León","18.32"
"Durango","15.95"
"Campeche","14.47"
"Tamaulipas","14.05"
"Ciudad de México","13.71"
"Puebla","13.56"
"Oaxaca","12.50"
"Michoacán de Ocampo","12.03"
"Sinaloa","11.83"
"Sonora","11.38"
"Tlaxcala","11.11"
"Aguascalientes","10.71"
"México","9.78"
"Hidalgo","8.87"
"Jalisco","8.63"
"Coahuila de Zaragoza","8.49"
"Veracruz de Ignacio de La Llave","8.25"
"Querétaro","7.66"
"Zacatecas","6.62"
"Guerrero","5.72"
"Nayarit","5.06"
"San Luis Potosí","4.92"
"Chiapas","4.39"
"Morelos","4.03"
"Guanajuato","1.75"
